"1","Aguascalientes","8","San José de Gracia","3102002003","Camiones y camionetas para carga registrados en circulación","1478","1613","1639","";
"1","Aguascalientes","9","Tepezalá","1011000057","Automóviles registrados en circulación","1675","2357","2496","Automóviles";
"1","Aguascalientes","9","Tepezalá","1011000058","Camiones de pasajeros registrados en circulación","5","5","3","";
"1","Aguascalientes","9","Tepezalá","1011000059","Motocicletas registradas en circulación","361","468","607","";
"1","Aguascalientes","9","Tepezalá","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","4237","5116","5262","";
"1","Aguascalientes","9","Tepezalá","3102002003","Camiones y camionetas para carga registrados en circulación","2557","2754","2763","";
"1","Aguascalientes","10","El Llano","1011000057","Automóviles registrados en circulación","1780","2653","2850","Automóviles";
"1","Aguascalientes","10","El Llano","1011000058","Camiones de pasajeros registrados en circulación","3","6","7","";
"1","Aguascalientes","10","El Llano","1011000059","Motocicletas registradas en circulación","350","561","818","";
"1","Aguascalientes","10","El Llano","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","4306","5667","5902","";
"1","Aguascalientes","10","El Llano","3102002003","Camiones y camionetas para carga registrados en circulación","2523","3008","3045","";
"1","Aguascalientes","11","San Francisco de los Romo","1011000057","Automóviles registrados en circulación","5974","8386","9041","Automóviles";
"1","Aguascalientes","11","San Francisco de los Romo","1011000058","Camiones de pasajeros registrados en circulación","17","15","16","";
"1","Aguascalientes","11","San Francisco de los Romo","1011000059","Motocicletas registradas en circulación","709","963","1216","";
"1","Aguascalientes","11","San Francisco de los Romo","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","10268","13337","14075","";
"1","Aguascalientes","11","San Francisco de los Romo","3102002003","Camiones y camionetas para carga registrados en circulación","4277","4936","5018","";
"2","Baja California","0","Estatal","1011000057","Automóviles registrados en circulación","832655","851836","892245","Automóviles";
"2","Baja California","0","Estatal","1011000058","Camiones de pasajeros registrados en circulación","5148","5407","6084","";
"2","Baja California","0","Estatal","1011000059","Motocicletas registradas en circulación","12788","14360","16734","";
"2","Baja California","0","Estatal","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","1088052","1108758","1153177","";
"2","Baja California","0","Estatal","3102002003","Camiones y camionetas para carga registrados en circulación","250249","251515","254848","";
"2","Baja California","1","Ensenada","1011000057","Automóviles registrados en circulación","93428","94990","99492","Automóviles";
"2","Baja California","1","Ensenada","1011000058","Camiones de pasajeros registrados en circulación","1318","1333","1412","";
"2","Baja California","1","Ensenada","1011000059","Motocicletas registradas en circulación","768","853","1007","";
"2","Baja California","1","Ensenada","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","130547","132118","137392","";
"2","Baja California","1","Ensenada","3102002003","Camiones y camionetas para carga registrados en circulación","35801","35795","36488","";
"2","Baja California","2","Mexicali","1011000057","Automóviles registrados en circulación","275825","277326","280695","Automóviles";
"2","Baja California","2","Mexicali","1011000058","Camiones de pasajeros registrados en circulación","1193","1060","1185","";
"2","Baja California","2","Mexicali","1011000059","Motocicletas registradas en circulación","3843","4299","4822","";
"2","Baja California","2","Mexicali","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","350513","351514","353890","";
"2","Baja California","2","Mexicali","3102002003","Camiones y camionetas para carga registrados en circulación","73495","73128","72010","";
"2","Baja California","3","Tecate","1011000057","Automóviles registrados en circulación","29498","30084","31706","Automóviles";
"2","Baja California","3","Tecate","1011000058","Camiones de pasajeros registrados en circulación","301","348","361","";
"2","Baja California","3","Tecate","1011000059","Motocicletas registradas en circulación","424","318","297","";
"2","Baja California","3","Tecate","3102001001","Vehículos de motor registrados en circulación (excluye motocicletas)","41947","42693","44750","";
"2","Baja California","3","Tecate","3102002003","Camiones y camionetas para carga registrados en circulación","12148","12261","12683","";
